,Function
TIGR01641,"phage head morphogenesis protein, SPP1 gp7 family"
TIGR00249,phosphohistidine phosphatase SixA
TIGR03542,LL-diaminopimelate aminotransferase
TIGR01933,HflK protein
TIGR03891,thiopeptide-type bacteriocin biosynthesis domain
TIGR00559,pyridoxine 5'-phosphate synthase
TIGR00543,isochorismate synthase
TIGR01546,"glyceraldehyde-3-phosphate dehydrogenase, type II"
TIGR03905,uncharacterized protein TIGR03905
TIGR01220,phosphomevalonate kinase
TIGR02964,xanthine dehydrogenase accessory protein XdhC
TIGR00889,nucleoside transporter
TIGR00536,"methyltransferase"
TIGR00530,1-acylglycerol-3-phosphate O-acyltransferases
TIGR03816,helicase/secretion neighborhood TadE-like protein
TIGR00402,ferredoxin-type protein NapF
TIGR00096,16S rRNA (cytidine(1402)-2'-O)-methyltransferase
TIGR03862,"flavoprotein, TIGR03862 family"
TIGR03073,release factor H-coupled RctB family protein
TIGR03063,sortase B cell surface sorting signal
TIGR00762,"EDD domain protein, DegV family"
TIGR02546,type III secretion apparatus H+-transporting two-sector ATPase
TIGR01745,aspartate-semialdehyde dehydrogenase
TIGR01222,septum site-determining protein MinC
TIGR00159,TIGR00159 family protein
TIGR02858,stage III sporulation protein AA
TIGR00544,prolipoprotein diacylglyceryl transferase
TIGR00875,fructose-6-phosphate aldolase
TIGR00589,methylated-DNA--[protein]-cysteine S-methyltransferase
TIGR02800,Tol-Pal system beta propeller repeat protein TolB
TIGR03948,butyryl-CoA:acetate CoA-transferase
TIGR03994,coproporphyrinogen dehydrogenase HemZ
TIGR00548,outer membrane lipoprotein LolB
TIGR01197,"metal ion transporter, metal ion (Mn2+/Fe2+) transporter (Nramp) family"
TIGR01388,ribonuclease D
TIGR00679,HPr(Ser) kinase/phosphatase
TIGR03346,ATP-dependent chaperone protein ClpB
TIGR01937,"NADH:ubiquinone oxidoreductase, Na(+)-translocating, B subunit"
TIGR01142,phosphoribosylglycinamide formyltransferase 2
TIGR03696,RHS repeat-associated core domain
TIGR00192,"urease, beta subunit"
TIGR00968,"sulfate ABC transporter, ATP-binding protein"
TIGR01342,putative aconitate hydratase
TIGR00336,orotate phosphoribosyltransferase
TIGR01186,"glycine betaine/L-proline ATP binding subunit"
TIGR04100,"radical SAM enzyme, TIGR04100 family"
TIGR00084,Holliday junction DNA helicase RuvA
TIGR01180,"putative alpha-1,2-mannosidase"
TIGR01656,histidinol-phosphate phosphatase domain
TIGR04366,"cupin fold metalloprotein, WbuC family"
TIGR01819,2-phospho-L-lactate transferase
TIGR01673,"phage holin, LL-H family"
TIGR02366,probable dihydroxyacetone kinase regulator
TIGR01919,bifunctional HisA/TrpF protein
TIGR01832,2-deoxy-D-gluconate 3-dehydrogenase
TIGR00100,hydrogenase nickel insertion protein HypA
TIGR01295,putative bacteriocin transport accessory protein
TIGR03494,salicylate synthase
TIGR01733,amino acid adenylation domain
TIGR00967,"preprotein translocase, SecY subunit"
