TIGRFAM,ROLE_ID,SubRole,MainRole,Role
TIGR00288,156,Conserved,Hypothetical proteins,Hypothetical proteins::Conserved
TIGR00289,156,Conserved,Hypothetical proteins,Hypothetical proteins::Conserved
TIGR00291,136,Other,Protein synthesis,Protein synthesis::Other
TIGR00292,162,Thiamine,"Biosynthesis of cofactors, prosthetic groups, and carriers","Biosynthesis of cofactors, prosthetic groups, and carriers::Thiamine"
TIGR00293,95,Protein folding and stabilization,Protein fate,Protein fate::Protein folding and stabilization
TIGR00294,76,Other,"Biosynthesis of cofactors, prosthetic groups, and carriers","Biosynthesis of cofactors, prosthetic groups, and carriers::Other"
TIGR00295,156,Conserved,Hypothetical proteins,Hypothetical proteins::Conserved
TIGR00296,157,General,Unknown function,Unknown function::General
TIGR00297,156,Conserved,Hypothetical proteins,Hypothetical proteins::Conserved
TIGR00298,76,Other,"Biosynthesis of cofactors, prosthetic groups, and carriers","Biosynthesis of cofactors, prosthetic groups, and carriers::Other"
TIGR00298,159,Methanogenesis,Energy metabolism,Energy metabolism::Methanogenesis
TIGR00299,156,Conserved,Hypothetical proteins,Hypothetical proteins::Conserved
TIGR00300,156,Conserved,Hypothetical proteins,Hypothetical proteins::Conserved
TIGR00302,125,Purine ribonucleotide biosynthesis,"Purines, pyrimidines, nucleosides, and nucleotides","Purines, pyrimidines, nucleosides, and nucleotides::Purine ribonucleotide biosynthesis"
TIGR00303,156,Conserved,Hypothetical proteins,Hypothetical proteins::Conserved
TIGR00304,156,Conserved,Hypothetical proteins,Hypothetical proteins::Conserved
TIGR00305,92,Other,Cellular processes,Cellular processes::Other
TIGR00305,134,Degradation of RNA,Transcription,Transcription::Degradation of RNA
TIGR00306,116,Glycolysis/gluconeogenesis,Energy metabolism,Energy metabolism::Glycolysis/gluconeogenesis
TIGR00307,158,Ribosomal proteins: synthesis and modification,Protein synthesis,Protein synthesis::Ribosomal proteins: synthesis and modification
TIGR00308,168,tRNA and rRNA base modification,Protein synthesis,Protein synthesis::tRNA and rRNA base modification
TIGR00309,145,Cations and iron carrying compounds,Transport and binding proteins,Transport and binding proteins::Cations and iron carrying compounds
TIGR00311,169,Translation factors,Protein synthesis,Protein synthesis::Translation factors
TIGR00312,79,"Heme, porphyrin, and cobalamin","Biosynthesis of cofactors, prosthetic groups, and carriers","Biosynthesis of cofactors, prosthetic groups, and carriers::Heme, porphyrin, and cobalamin"
TIGR00313,79,"Heme, porphyrin, and cobalamin","Biosynthesis of cofactors, prosthetic groups, and carriers","Biosynthesis of cofactors, prosthetic groups, and carriers::Heme, porphyrin, and cobalamin"
TIGR00314,180,Chemoautotrophy,Energy metabolism,Energy metabolism::Chemoautotrophy
TIGR00315,180,Chemoautotrophy,Energy metabolism,Energy metabolism::Chemoautotrophy
TIGR00316,180,Chemoautotrophy,Energy metabolism,Energy metabolism::Chemoautotrophy
TIGR00317,79,"Heme, porphyrin, and cobalamin","Biosynthesis of cofactors, prosthetic groups, and carriers","Biosynthesis of cofactors, prosthetic groups, and carriers::Heme, porphyrin, and cobalamin"
TIGR00318,264,Small molecule interactions,Regulatory functions,Regulatory functions::Small molecule interactions
TIGR00319,112,Electron transport,Energy metabolism,Energy metabolism::Electron transport
TIGR00320,112,Electron transport,Energy metabolism,Energy metabolism::Electron transport
TIGR00321,140,Protein modification and repair,Protein fate,Protein fate::Protein modification and repair
TIGR00323,169,Translation factors,Protein synthesis,Protein synthesis::Translation factors
TIGR00324,166,RNA processing,Transcription,Transcription::RNA processing
TIGR00325,90,Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides,Cell envelope,Cell envelope::Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides
TIGR00326,85,"Riboflavin, FMN, and FAD","Biosynthesis of cofactors, prosthetic groups, and carriers","Biosynthesis of cofactors, prosthetic groups, and carriers::Riboflavin, FMN, and FAD"
TIGR00327,97,Protein and peptide secretion and trafficking,Protein fate,Protein fate::Protein and peptide secretion and trafficking
TIGR00328,188,Chemotaxis and motility,Cellular processes,Cellular processes::Chemotaxis and motility
TIGR00329,138,"Degradation of proteins, peptides, and glycopeptides",Protein fate,"Protein fate::Degradation of proteins, peptides, and glycopeptides"
TIGR00330,117,Pentose phosphate pathway,Energy metabolism,Energy metabolism::Pentose phosphate pathway
TIGR00331,261,DNA interactions,Regulatory functions,Regulatory functions::DNA interactions
TIGR00332,112,Electron transport,Energy metabolism,Energy metabolism::Electron transport
TIGR00333,123,2'-Deoxyribonucleotide metabolism,"Purines, pyrimidines, nucleosides, and nucleotides","Purines, pyrimidines, nucleosides, and nucleotides::2'-Deoxyribonucleotide metabolism"
TIGR00334,166,RNA processing,Transcription,Transcription::RNA processing
TIGR00335,132,"DNA replication, recombination, and repair",DNA metabolism,"DNA metabolism::DNA replication, recombination, and repair"
TIGR00336,126,Pyrimidine ribonucleotide biosynthesis,"Purines, pyrimidines, nucleosides, and nucleotides","Purines, pyrimidines, nucleosides, and nucleotides::Pyrimidine ribonucleotide biosynthesis"
TIGR00337,126,Pyrimidine ribonucleotide biosynthesis,"Purines, pyrimidines, nucleosides, and nucleotides","Purines, pyrimidines, nucleosides, and nucleotides::Pyrimidine ribonucleotide biosynthesis"
TIGR00338,75,Serine family,Amino acid biosynthesis,Amino acid biosynthesis::Serine family
TIGR00339,106,Sulfur metabolism,Central intermediary metabolism,Central intermediary metabolism::Sulfur metabolism
TIGR00340,157,General,Unknown function,Unknown function::General
TIGR00341,156,Conserved,Hypothetical proteins,Hypothetical proteins::Conserved
TIGR00342,162,Thiamine,"Biosynthesis of cofactors, prosthetic groups, and carriers","Biosynthesis of cofactors, prosthetic groups, and carriers::Thiamine"
TIGR00342,168,tRNA and rRNA base modification,Protein synthesis,Protein synthesis::tRNA and rRNA base modification
TIGR00343,84,Pyridoxine,"Biosynthesis of cofactors, prosthetic groups, and carriers","Biosynthesis of cofactors, prosthetic groups, and carriers::Pyridoxine"
TIGR00344,137,tRNA aminoacylation,Protein synthesis,Protein synthesis::tRNA aminoacylation
TIGR00345,156,Conserved,Hypothetical proteins,Hypothetical proteins::Conserved
TIGR00346,142,"Amino acids, peptides and amines",Transport and binding proteins,"Transport and binding proteins::Amino acids, peptides and amines"
TIGR00347,77,Biotin,"Biosynthesis of cofactors, prosthetic groups, and carriers","Biosynthesis of cofactors, prosthetic groups, and carriers::Biotin"
TIGR00348,183,Restriction/modification,DNA metabolism,DNA metabolism::Restriction/modification
TIGR00350,129,Other,Regulatory functions,Regulatory functions::Other
TIGR00351,110,Anaerobic,Energy metabolism,Energy metabolism::Anaerobic
TIGR00353,112,Electron transport,Energy metabolism,Energy metabolism::Electron transport
TIGR00354,132,"DNA replication, recombination, and repair",DNA metabolism,"DNA metabolism::DNA replication, recombination, and repair"
TIGR00355,125,Purine ribonucleotide biosynthesis,"Purines, pyrimidines, nucleosides, and nucleotides","Purines, pyrimidines, nucleosides, and nucleotides::Purine ribonucleotide biosynthesis"
TIGR00357,140,Protein modification and repair,Protein fate,Protein fate::Protein modification and repair
TIGR00357,149,Adaptations to atypical conditions,Cellular processes,Cellular processes::Adaptations to atypical conditions
TIGR00358,134,Degradation of RNA,Transcription,Transcription::Degradation of RNA
TIGR00359,144,"Carbohydrates, organic alcohols, and acids",Transport and binding proteins,"Transport and binding proteins::Carbohydrates, organic alcohols, and acids"
TIGR00359,700,PTS,Signal transduction,Signal transduction::PTS
TIGR00360,157,General,Unknown function,Unknown function::General
TIGR00361,98,DNA transformation,Cellular processes,Cellular processes::DNA transformation
TIGR00362,132,"DNA replication, recombination, and repair",DNA metabolism,"DNA metabolism::DNA replication, recombination, and repair"
TIGR00363,88,Other,Cell envelope,Cell envelope::Other
TIGR00364,157,General,Unknown function,Unknown function::General
TIGR00365,112,Electron transport,Energy metabolism,Energy metabolism::Electron transport
TIGR00366,156,Conserved,Hypothetical proteins,Hypothetical proteins::Conserved
TIGR00367,157,General,Unknown function,Unknown function::General
TIGR00368,157,General,Unknown function,Unknown function::General
TIGR00370,156,Conserved,Hypothetical proteins,Hypothetical proteins::Conserved
TIGR00372,719,NA,NA,NA::NA
TIGR00373,165,Transcription factors,Transcription,Transcription::Transcription factors
TIGR00374,157,General,Unknown function,Unknown function::General
TIGR00375,156,Conserved,Hypothetical proteins,Hypothetical proteins::Conserved
TIGR00376,132,"DNA replication, recombination, and repair",DNA metabolism,"DNA metabolism::DNA replication, recombination, and repair"
TIGR00377,263,Protein interactions,Regulatory functions,Regulatory functions::Protein interactions
TIGR00378,145,Cations and iron carrying compounds,Transport and binding proteins,Transport and binding proteins::Cations and iron carrying compounds
TIGR00379,79,"Heme, porphyrin, and cobalamin","Biosynthesis of cofactors, prosthetic groups, and carriers","Biosynthesis of cofactors, prosthetic groups, and carriers::Heme, porphyrin, and cobalamin"
TIGR00380,79,"Heme, porphyrin, and cobalamin","Biosynthesis of cofactors, prosthetic groups, and carriers","Biosynthesis of cofactors, prosthetic groups, and carriers::Heme, porphyrin, and cobalamin"
TIGR00381,180,Chemoautotrophy,Energy metabolism,Energy metabolism::Chemoautotrophy
TIGR00382,95,Protein folding and stabilization,Protein fate,Protein fate::Protein folding and stabilization
TIGR00382,138,"Degradation of proteins, peptides, and glycopeptides",Protein fate,"Protein fate::Degradation of proteins, peptides, and glycopeptides"
TIGR00383,145,Cations and iron carrying compounds,Transport and binding proteins,Transport and binding proteins::Cations and iron carrying compounds
TIGR00384,108,Aerobic,Energy metabolism,Energy metabolism::Aerobic
TIGR00384,110,Anaerobic,Energy metabolism,Energy metabolism::Anaerobic
TIGR00384,120,TCA cycle,Energy metabolism,Energy metabolism::TCA cycle
TIGR00385,95,Protein folding and stabilization,Protein fate,Protein fate::Protein folding and stabilization
TIGR00387,184,Other,Energy metabolism,Energy metabolism::Other
TIGR00388,137,tRNA aminoacylation,Protein synthesis,Protein synthesis::tRNA aminoacylation
TIGR00389,137,tRNA aminoacylation,Protein synthesis,Protein synthesis::tRNA aminoacylation
TIGR00390,95,Protein folding and stabilization,Protein fate,Protein fate::Protein folding and stabilization
TIGR00391,112,Electron transport,Energy metabolism,Energy metabolism::Electron transport
TIGR00392,137,tRNA aminoacylation,Protein synthesis,Protein synthesis::tRNA aminoacylation
TIGR00393,119,Sugars,Energy metabolism,Energy metabolism::Sugars
TIGR00394,144,"Carbohydrates, organic alcohols, and acids",Transport and binding proteins,"Transport and binding proteins::Carbohydrates, organic alcohols, and acids"
TIGR00394,700,PTS,Signal transduction,Signal transduction::PTS
TIGR00395,137,tRNA aminoacylation,Protein synthesis,Protein synthesis::tRNA aminoacylation
TIGR00396,137,tRNA aminoacylation,Protein synthesis,Protein synthesis::tRNA aminoacylation
TIGR00397,112,Electron transport,Energy metabolism,Energy metabolism::Electron transport
TIGR00398,137,tRNA aminoacylation,Protein synthesis,Protein synthesis::tRNA aminoacylation
TIGR00399,137,tRNA aminoacylation,Protein synthesis,Protein synthesis::tRNA aminoacylation
TIGR00400,145,Cations and iron carrying compounds,Transport and binding proteins,Transport and binding proteins::Cations and iron carrying compounds
TIGR00401,140,Protein modification and repair,Protein fate,Protein fate::Protein modification and repair
TIGR00401,149,Adaptations to atypical conditions,Cellular processes,Cellular processes::Adaptations to atypical conditions
TIGR00402,112,Electron transport,Energy metabolism,Energy metabolism::Electron transport
TIGR00403,112,Electron transport,Energy metabolism,Energy metabolism::Electron transport
TIGR00406,158,Ribosomal proteins: synthesis and modification,Protein synthesis,Protein synthesis::Ribosomal proteins: synthesis and modification
TIGR00407,73,Glutamate family,Amino acid biosynthesis,Amino acid biosynthesis::Glutamate family
TIGR00408,137,tRNA aminoacylation,Protein synthesis,Protein synthesis::tRNA aminoacylation
TIGR00409,137,tRNA aminoacylation,Protein synthesis,Protein synthesis::tRNA aminoacylation
TIGR00410,144,"Carbohydrates, organic alcohols, and acids",Transport and binding proteins,"Transport and binding proteins::Carbohydrates, organic alcohols, and acids"
TIGR00410,700,PTS,Signal transduction,Signal transduction::PTS
TIGR00411,157,General,Unknown function,Unknown function::General
TIGR00412,157,General,Unknown function,Unknown function::General
TIGR00413,88,Other,Cell envelope,Cell envelope::Other
TIGR00414,137,tRNA aminoacylation,Protein synthesis,Protein synthesis::tRNA aminoacylation
TIGR00415,137,tRNA aminoacylation,Protein synthesis,Protein synthesis::tRNA aminoacylation
TIGR00416,132,"DNA replication, recombination, and repair",DNA metabolism,"DNA metabolism::DNA replication, recombination, and repair"
TIGR00417,104,Polyamine biosynthesis,Central intermediary metabolism,Central intermediary metabolism::Polyamine biosynthesis
TIGR00418,137,tRNA aminoacylation,Protein synthesis,Protein synthesis::tRNA aminoacylation
TIGR00419,116,Glycolysis/gluconeogenesis,Energy metabolism,Energy metabolism::Glycolysis/gluconeogenesis
